population,algorithm,allowed_miss,injected_miss,totAccuracy,minHom,majHom,hetAcc
rice,MNI,0.2,0.01,0.907379480962378,0.00181662748450524,0.999391958653188,NA
rice,MNI,0.2,0.05,0.907647374847375,0.00489946551285314,0.999233958861869,NA
rice,MNI,0.2,0.1,0.907867628248316,0.00805696283366682,0.998755093045507,NA
rice,MNI,0.2,0.2,0.907785496421216,0.00932501141079939,0.998749611100573,NA
rice,MNI,0.4,0.01,0.903910279210386,0.00133379726281605,0.999575885722715,NA
rice,MNI,0.4,0.05,0.903108698446035,0.00419795221843003,0.999176880681742,NA
rice,MNI,0.4,0.1,0.903561843642209,0.00706677415481724,0.998820803433218,NA
rice,MNI,0.4,0.2,0.90333421487821,0.0101816627484505,0.998480355267803,NA
rice,MNI,0.7,0.01,0.892771018802241,0.0016657601305412,0.999175965804611,NA
rice,MNI,0.7,0.05,0.893093816511464,0.0062209766730298,0.998574156731655,NA
rice,MNI,0.7,0.1,0.892923694669612,0.00882944224999242,0.998347615848593,NA
rice,MNI,0.7,0.2,0.892964145893572,0.0126763976346815,0.997873198937422,NA
rice,RFI_pvariables,0.1,0.01,0.981619610659889,0.868364767645343,0.993469504007812,NA
rice,RFI_pvariables,0.1,0.05,0.979313230064626,0.843107594445737,0.99354710572289,NA
rice,RFI_pvariables,0.1,0.1,0.977280191401957,0.831350875850991,0.992766961819543,NA
rice,RFI_pvariables,0.1,0.2,0.974727240404159,0.811610150030619,0.992003988884632,NA
rice,RFI_pvariables,0.2,0.01,0.981676394134092,0.857235491192046,0.994098735597463,NA
rice,RFI_pvariables,0.2,0.05,0.98083163608369,0.852263224478418,0.993686327307653,NA
rice,RFI_pvariables,0.2,0.1,0.979431789166337,0.842069406003832,0.993274745268506,NA
rice,RFI_pvariables,0.2,0.2,0.976930901497984,0.822879229313315,0.992495419418015,NA
rice,RFI_pvariables,0.4,0.01,0.981728017040538,0.869222809841343,0.993743860510806,NA
rice,RFI_pvariables,0.4,0.05,0.980588932919383,0.860605226013013,0.993311228059502,NA
rice,RFI_pvariables,0.4,0.1,0.979439423560052,0.852338424981098,0.993013357067358,NA
rice,RFI_pvariables,0.4,0.2,0.977220731004032,0.83561032286128,0.99224438579452,NA
rice,RFI_pvariables,0.7,0.01,0.978670484288462,0.863517948370944,0.992447025965878,NA
rice,RFI_pvariables,0.7,0.05,0.977823040304026,0.857311416714135,0.992121093633718,NA
rice,RFI_pvariables,0.7,0.1,0.976550371410946,0.849203714323082,0.991791521008842,NA
rice,RFI_pvariables,0.7,0.2,0.973767851328926,0.832152636217464,0.990664580712847,NA
rice,SVD,0.1,0.01,0.959209969260221,0.712713696207506,0.984686624152078,NA
rice,SVD,0.1,0.05,0.959214251875682,0.715144740392399,0.984916260076799,NA
rice,SVD,0.1,0.1,0.958590735897158,0.714968611415078,0.984385163262651,NA
rice,SVD,0.1,0.2,0.958807220468075,0.713876361818129,0.984613015516661,NA
rice,SVD,0.2,0.01,0.960048426150121,0.70458952811894,0.985733783959444,NA
rice,SVD,0.2,0.05,0.959796793911639,0.705215079126817,0.985341073395759,NA
rice,SVD,0.2,0.1,0.959682633315298,0.706326984701536,0.985271963827762,NA
rice,SVD,0.2,0.2,0.959087632149641,0.704847105962841,0.984707314362356,NA
rice,SVD,0.4,0.01,0.957442209746338,0.706067905482909,0.984331384470034,NA
rice,SVD,0.4,0.05,0.957894320284134,0.706759569061663,0.984442191803466,NA
rice,SVD,0.4,0.1,0.957617995073458,0.706997168113184,0.984206441976357,NA
rice,SVD,0.4,0.2,0.9570449762236,0.70451446923327,0.983925685021756,NA
rice,SVD,0.7,0.01,0.954013259467805,0.716109380882303,0.982264200019508,NA
